video_name,frame_paths,frame_numbers,text_label,category_en,light_conditions,weather,scene,source_category
00841.avi,C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00841\pre_event\00841_pre_01.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00841\pre_event\00841_pre_02.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00841\pre_event\00841_pre_03.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00841\pre_event\00841_pre_04.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00841\pre_event\00841_pre_05.jpg,35|56|78|99|120,"A pre-crash dashcam traffic scene on a highway road, under normal light and clear weather, showing a same-direction right-front collision conflict.",same-direction right-front collision conflict,Normal,Clear,Highway,5
00938.avi,C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00938\pre_event\00938_pre_01.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00938\pre_event\00938_pre_02.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00938\pre_event\00938_pre_03.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00938\pre_event\00938_pre_04.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00938\pre_event\00938_pre_05.jpg,114|116|117|118|120,"A pre-crash dashcam traffic scene on a other road, under normal light and clear weather, showing a opposite-direction left-side collision conflict.",opposite-direction left-side collision conflict,Normal,Clear,Other,2
00884.avi,C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00884\pre_event\00884_pre_01.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00884\pre_event\00884_pre_02.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00884\pre_event\00884_pre_03.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00884\pre_event\00884_pre_04.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00884\pre_event\00884_pre_05.jpg,70|82|95|108|120,"A pre-crash dashcam traffic scene on a sub-urban road, under normal light and clear weather, showing a opposite-direction right-side collision conflict.",opposite-direction right-side collision conflict,Normal,Clear,Sub-urban,1
00010.avi,C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00010\pre_event\00010_pre_01.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00010\pre_event\00010_pre_02.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00010\pre_event\00010_pre_03.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00010\pre_event\00010_pre_04.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00010\pre_event\00010_pre_05.jpg,48|66|84|102|120,"A pre-crash dashcam traffic scene on a urban road, under normal light and cloudy weather, showing a opposite-direction left-side collision conflict.",opposite-direction left-side collision conflict,Normal,Cloudy,Urban,2
00927.avi,C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00927\pre_event\00927_pre_01.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00927\pre_event\00927_pre_02.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00927\pre_event\00927_pre_03.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00927\pre_event\00927_pre_04.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00927\pre_event\00927_pre_05.jpg,11|38|66|93|120,"A pre-crash dashcam traffic scene on a urban road, under dark light and clear weather, showing a same-direction right-front collision conflict.",same-direction right-front collision conflict,Dark,Clear,Urban,5
00516.avi,C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00516\pre_event\00516_pre_01.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00516\pre_event\00516_pre_02.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00516\pre_event\00516_pre_03.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00516\pre_event\00516_pre_04.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00516\pre_event\00516_pre_05.jpg,90|98|105|112|120,"A pre-crash dashcam traffic scene on a urban road, under normal light and clear weather, showing a same-direction right-front collision conflict.",same-direction right-front collision conflict,Normal,Clear,Urban,5
00903.avi,C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00903\pre_event\00903_pre_01.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00903\pre_event\00903_pre_02.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00903\pre_event\00903_pre_03.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00903\pre_event\00903_pre_04.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00903\pre_event\00903_pre_05.jpg,33|55|76|98|120,"A pre-crash dashcam traffic scene on a urban road, under normal light and rain weather, showing a opposite-direction left-side collision conflict.",opposite-direction left-side collision conflict,Normal,Rain,Urban,2
00880.avi,C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00880\pre_event\00880_pre_01.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00880\pre_event\00880_pre_02.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00880\pre_event\00880_pre_03.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00880\pre_event\00880_pre_04.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00880\pre_event\00880_pre_05.jpg,93|100|106|113|120,"A pre-crash dashcam traffic scene on a highway road, under normal light and cloudy weather, showing a same-direction left-rear collision conflict.",same-direction left-rear collision conflict,Normal,Cloudy,Highway,6
00558.avi,C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00558\pre_event\00558_pre_01.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00558\pre_event\00558_pre_02.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00558\pre_event\00558_pre_03.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00558\pre_event\00558_pre_04.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00558\pre_event\00558_pre_05.jpg,49|67|84|102|120,"A pre-crash dashcam traffic scene on a urban road, under normal light and rain weather, showing a same-direction right-front collision conflict.",same-direction right-front collision conflict,Normal,Rain,Urban,5
00100.avi,C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00100\pre_event\00100_pre_01.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00100\pre_event\00100_pre_02.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00100\pre_event\00100_pre_03.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00100\pre_event\00100_pre_04.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00100\pre_event\00100_pre_05.jpg,82|92|101|110|120,"A pre-crash dashcam traffic scene on a urban road, under normal light and cloudy weather, showing a same-direction left-front collision conflict.",same-direction left-front collision conflict,Normal,Cloudy,Urban,7
00042.avi,C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00042\pre_event\00042_pre_01.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00042\pre_event\00042_pre_02.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00042\pre_event\00042_pre_03.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00042\pre_event\00042_pre_04.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00042\pre_event\00042_pre_05.jpg,68|81|94|107|120,"A pre-crash dashcam traffic scene on a urban road, under normal light and clear weather, showing a same-direction right-rear collision conflict.",same-direction right-rear collision conflict,Normal,Clear,Urban,4
00292.avi,C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00292\pre_event\00292_pre_01.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00292\pre_event\00292_pre_02.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00292\pre_event\00292_pre_03.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00292\pre_event\00292_pre_04.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00292\pre_event\00292_pre_05.jpg,81|91|100|110|120,"A pre-crash dashcam traffic scene on a urban road, under normal light and clear weather, showing a same-direction left-front collision conflict.",same-direction left-front collision conflict,Normal,Clear,Urban,7
01016.avi,C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\01016\pre_event\01016_pre_01.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\01016\pre_event\01016_pre_02.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\01016\pre_event\01016_pre_03.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\01016\pre_event\01016_pre_04.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\01016\pre_event\01016_pre_05.jpg,89|97|104|112|120,"A pre-crash dashcam traffic scene on a urban road, under normal light and clear weather, showing a same-direction right-rear collision conflict.",same-direction right-rear collision conflict,Normal,Clear,Urban,4
00336.avi,C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00336\pre_event\00336_pre_01.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00336\pre_event\00336_pre_02.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00336\pre_event\00336_pre_03.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00336\pre_event\00336_pre_04.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00336\pre_event\00336_pre_05.jpg,94|100|107|114|120,"A pre-crash dashcam traffic scene on a highway road, under normal light and clear weather, showing a same-direction left-rear collision conflict.",same-direction left-rear collision conflict,Normal,Clear,Highway,6
00168.avi,C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00168\pre_event\00168_pre_01.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00168\pre_event\00168_pre_02.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00168\pre_event\00168_pre_03.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00168\pre_event\00168_pre_04.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00168\pre_event\00168_pre_05.jpg,81|91|100|110|120,"A pre-crash dashcam traffic scene on a urban road, under normal light and cloudy weather, showing a opposite-direction frontal center collision conflict.",opposite-direction frontal center collision conflict,Normal,Cloudy,Urban,3
00600.avi,C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00600\pre_event\00600_pre_01.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00600\pre_event\00600_pre_02.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00600\pre_event\00600_pre_03.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00600\pre_event\00600_pre_04.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00600\pre_event\00600_pre_05.jpg,15|41|68|94|120,"A pre-crash dashcam traffic scene on a highway road, under normal light and cloudy weather, showing a same-direction center rear-end or forward collision conflict.",same-direction center rear-end or forward collision conflict,Normal,Cloudy,Highway,8
00473.avi,C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00473\pre_event\00473_pre_01.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00473\pre_event\00473_pre_02.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00473\pre_event\00473_pre_03.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00473\pre_event\00473_pre_04.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00473\pre_event\00473_pre_05.jpg,46|64|83|102|120,"A pre-crash dashcam traffic scene on a highway road, under normal light and rain weather, showing a same-direction center rear-end or forward collision conflict.",same-direction center rear-end or forward collision conflict,Normal,Rain,Highway,8
00515.avi,C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00515\pre_event\00515_pre_01.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00515\pre_event\00515_pre_02.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00515\pre_event\00515_pre_03.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00515\pre_event\00515_pre_04.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00515\pre_event\00515_pre_05.jpg,59|74|90|105|120,"A pre-crash dashcam traffic scene on a urban road, under normal light and clear weather, showing a same-direction left-front collision conflict.",same-direction left-front collision conflict,Normal,Clear,Urban,7
00348.avi,C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00348\pre_event\00348_pre_01.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00348\pre_event\00348_pre_02.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00348\pre_event\00348_pre_03.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00348\pre_event\00348_pre_04.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00348\pre_event\00348_pre_05.jpg,70|82|95|108|120,"A pre-crash dashcam traffic scene on a sub-urban road, under normal light and clear weather, showing a opposite-direction frontal center collision conflict.",opposite-direction frontal center collision conflict,Normal,Clear,Sub-urban,3
00487.avi,C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00487\pre_event\00487_pre_01.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00487\pre_event\00487_pre_02.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00487\pre_event\00487_pre_03.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00487\pre_event\00487_pre_04.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00487\pre_event\00487_pre_05.jpg,93|100|106|113|120,"A pre-crash dashcam traffic scene on a urban road, under normal light and clear weather, showing a opposite-direction left-side collision conflict.",opposite-direction left-side collision conflict,Normal,Clear,Urban,2
00335.avi,C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00335\pre_event\00335_pre_01.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00335\pre_event\00335_pre_02.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00335\pre_event\00335_pre_03.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00335\pre_event\00335_pre_04.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00335\pre_event\00335_pre_05.jpg,71|83|96|108|120,"A pre-crash dashcam traffic scene on a highway road, under normal light and clear weather, showing a same-direction left-front collision conflict.",same-direction left-front collision conflict,Normal,Clear,Highway,7
00029.avi,C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00029\pre_event\00029_pre_01.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00029\pre_event\00029_pre_02.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00029\pre_event\00029_pre_03.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00029\pre_event\00029_pre_04.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00029\pre_event\00029_pre_05.jpg,96|102|108|114|120,"A pre-crash dashcam traffic scene on a highway road, under normal light and clear weather, showing a same-direction right-front collision conflict.",same-direction right-front collision conflict,Normal,Clear,Highway,5
00960.avi,C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00960\pre_event\00960_pre_01.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00960\pre_event\00960_pre_02.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00960\pre_event\00960_pre_03.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00960\pre_event\00960_pre_04.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00960\pre_event\00960_pre_05.jpg,79|89|100|110|120,"A pre-crash dashcam traffic scene on a urban road, under normal light and cloudy weather, showing a same-direction center rear-end or forward collision conflict.",same-direction center rear-end or forward collision conflict,Normal,Cloudy,Urban,8
00980.avi,C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00980\pre_event\00980_pre_01.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00980\pre_event\00980_pre_02.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00980\pre_event\00980_pre_03.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00980\pre_event\00980_pre_04.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00980\pre_event\00980_pre_05.jpg,90|98|105|112|120,"A pre-crash dashcam traffic scene on a highway road, under normal light and cloudy weather, showing a same-direction left-front collision conflict.",same-direction left-front collision conflict,Normal,Cloudy,Highway,7
00702.avi,C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00702\pre_event\00702_pre_01.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00702\pre_event\00702_pre_02.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00702\pre_event\00702_pre_03.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00702\pre_event\00702_pre_04.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00702\pre_event\00702_pre_05.jpg,25|49|72|96|120,"A pre-crash dashcam traffic scene on a highway road, under normal light and clear weather, showing a same-direction center rear-end or forward collision conflict.",same-direction center rear-end or forward collision conflict,Normal,Clear,Highway,8
00819.avi,C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00819\pre_event\00819_pre_01.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00819\pre_event\00819_pre_02.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00819\pre_event\00819_pre_03.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00819\pre_event\00819_pre_04.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00819\pre_event\00819_pre_05.jpg,1|31|60|90|120,"A pre-crash dashcam traffic scene on a highway road, under normal light and clear weather, showing a same-direction center rear-end or forward collision conflict.",same-direction center rear-end or forward collision conflict,Normal,Clear,Highway,8
00617.avi,C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00617\pre_event\00617_pre_01.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00617\pre_event\00617_pre_02.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00617\pre_event\00617_pre_03.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00617\pre_event\00617_pre_04.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00617\pre_event\00617_pre_05.jpg,83|92|102|111|120,"A pre-crash dashcam traffic scene on a highway road, under dark light and clear weather, showing a same-direction left-rear collision conflict.",same-direction left-rear collision conflict,Dark,Clear,Highway,6
00861.avi,C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00861\pre_event\00861_pre_01.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00861\pre_event\00861_pre_02.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00861\pre_event\00861_pre_03.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00861\pre_event\00861_pre_04.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00861\pre_event\00861_pre_05.jpg,74|86|97|108|120,"A pre-crash dashcam traffic scene on a sub-urban road, under normal light and clear weather, showing a same-direction right-front collision conflict.",same-direction right-front collision conflict,Normal,Clear,Sub-urban,5
