video_name,frame_paths,frame_numbers,text_label,category_en,light_conditions,weather,scene,source_category,annotation_count,annotator_texts,fusion_mode
00090.avi,C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00090\pre_event\00090_pre_01.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00090\pre_event\00090_pre_02.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00090\pre_event\00090_pre_03.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00090\pre_event\00090_pre_04.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00090\pre_event\00090_pre_05.jpg,91|98|106|113|120,"Pay attention to the left intersection because a vehicle may suddenly enter the path and cause a collision The traffic light is green. The dashcam vehicle travels straight in dense traffic. A black car suddenly turns left from the opposite lane on the right and collides with it. Road under elevated tracks, pedestrians, green light, black Audi turning left. The black Audi crosses the double yellow lines into the ego path. The ego-vehicle collides with the turning Audi. In a scene at an intersection and during a green light, the camera car drives straight ahead when a vehicle from the left moves right across its path; the gap becomes too short, raising intersection collision risk. While driving straight, a car suddenly appears in my left blind spot and heads towards me. At an intersection, the dashcam vehicle is going straight while a pedestrian enters or crosses the dashcam path.",opposite-direction left-side collision conflict,Normal,Cloudy,Urban,2,6,"Pay attention to the left intersection because a vehicle may suddenly enter the path and cause a collision || The traffic light is green. The dashcam vehicle travels straight in dense traffic. A black car suddenly turns left from the opposite lane on the right and collides with it. || Road under elevated tracks, pedestrians, green light, black Audi turning left. The black Audi crosses the double yellow lines into the ego path. The ego-vehicle collides with the turning Audi. || In a scene at an intersection and during a green light, the camera car drives straight ahead when a vehicle from the left moves right across its path; the gap becomes too short, raising intersection collision risk. || While driving straight, a car suddenly appears in my left blind spot and heads towards me. || At an intersection, the dashcam vehicle is going straight while a pedestrian enters or crosses the dashcam path.",normalized
00645.avi,C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00645\pre_event\00645_pre_01.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00645\pre_event\00645_pre_02.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00645\pre_event\00645_pre_03.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00645\pre_event\00645_pre_04.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00645\pre_event\00645_pre_05.jpg,62|76|91|106|120,"Pay attention to the vehicle ahead because a sudden stop may lead to a collision It is daytime. The dashcam vehicle travels straight. The vehicle ahead suddenly brakes to a stop. The dashcam vehicle brakes in time and comes to a stop, leaving a very small gap between them. A two-lane street with parked cars on both sides and moderate traffic. A black sedan abruptly changes lanes without signaling, cutting off the ego-vehicle. The ego-vehicle brakes hard to avoid a collision with the black sedan. The ego vehicle drives straight ahead while the front vehicle suddenly stops, producing rear-end collision risk. The front vehicle suddenly stopped while the video-equipped car was driving straight, resulting in a collision. On an urban road, the dashcam vehicle brakes or slows late while a vehicle ahead brakes or stops suddenly.",same-direction center rear-end or forward collision conflict,Normal,Cloudy,Sub-urban,8,6,"Pay attention to the vehicle ahead because a sudden stop may lead to a collision || It is daytime. The dashcam vehicle travels straight. The vehicle ahead suddenly brakes to a stop. The dashcam vehicle brakes in time and comes to a stop, leaving a very small gap between them. || A two-lane street with parked cars on both sides and moderate traffic. A black sedan abruptly changes lanes without signaling, cutting off the ego-vehicle. The ego-vehicle brakes hard to avoid a collision with the black sedan. || The ego vehicle drives straight ahead while the front vehicle suddenly stops, producing rear-end collision risk. || The front vehicle suddenly stopped while the video-equipped car was driving straight, resulting in a collision. || On an urban road, the dashcam vehicle brakes or slows late while a vehicle ahead brakes or stops suddenly.",normalized
00132.avi,C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00132\pre_event\00132_pre_01.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00132\pre_event\00132_pre_02.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00132\pre_event\00132_pre_03.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00132\pre_event\00132_pre_04.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00132\pre_event\00132_pre_05.jpg,93|100|106|113|120,"Pay attention to the left side because speeding through the intersection may lead to a collision The dashcam vehicle travels straight downhill at a high speed. There is no traffic light. A red car enters from the left intersection and travels straight across from left to right, colliding with the dashcam vehicle. Urban street with parked cars, buildings, and a pedestrian at an intersection. The pedestrian begins to cross the street as the ego-vehicle approaches. The ego-vehicle brakes to avoid hitting the pedestrian. The ego vehicle moves forward too fast; at an intersection and at high speed, a vehicle on the left gets too close; a crossing vehicle enters the driving path, leading to intersection collision risk. A speeding vehicle collided with an incoming car from the left at an intersection. At an intersection, the dashcam vehicle brakes or slows late while a vehicle from the left enters or crosses the dashcam path.",opposite-direction left-side collision conflict,Normal,Clear,Urban,2,6,"Pay attention to the left side because speeding through the intersection may lead to a collision || The dashcam vehicle travels straight downhill at a high speed. There is no traffic light. A red car enters from the left intersection and travels straight across from left to right, colliding with the dashcam vehicle. || Urban street with parked cars, buildings, and a pedestrian at an intersection. The pedestrian begins to cross the street as the ego-vehicle approaches. The ego-vehicle brakes to avoid hitting the pedestrian. || The ego vehicle moves forward too fast; at an intersection and at high speed, a vehicle on the left gets too close; a crossing vehicle enters the driving path, leading to intersection collision risk. || A speeding vehicle collided with an incoming car from the left at an intersection. || At an intersection, the dashcam vehicle brakes or slows late while a vehicle from the left enters or crosses the dashcam path.",normalized
01036.avi,C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\01036\pre_event\01036_pre_01.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\01036\pre_event\01036_pre_02.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\01036\pre_event\01036_pre_03.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\01036\pre_event\01036_pre_04.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\01036\pre_event\01036_pre_05.jpg,53|70|86|103|120,"Pay attention to the vehicle ahead because its sudden slowdown may lead to a collision It is night. The traffic light is green. At the intersection, the dashcam vehicle travels straight. A straight-moving vehicle ahead suddenly brakes. The dashcam vehicle brakes in time and comes to a stop, leaving a very small gap between them. No collision occurs. Nighttime urban intersection with wet roads, multiple vehicles, traffic lights, and street signs. The white SUV in front brakes suddenly, causing the ego-vehicle to brake. The ego-vehicle avoids collision but experiences hard braking due to the SUV's sudden stop. The ego vehicle drives straight ahead in rainy weather and at an intersection, while the front vehicle slows down or brakes, leading to rear-end collision risk. The video car was going straight at an intersection on a rainy day when the vehicle ahead decelerated slower than the video car, leading to an accident. At an intersection, the dashcam vehicle brakes or slows late while a vehicle ahead brakes or stops suddenly.",same-direction center rear-end or forward collision conflict,Normal,Rain,Urban,8,6,"Pay attention to the vehicle ahead because its sudden slowdown may lead to a collision || It is night. The traffic light is green. At the intersection, the dashcam vehicle travels straight. A straight-moving vehicle ahead suddenly brakes. The dashcam vehicle brakes in time and comes to a stop, leaving a very small gap between them. No collision occurs. || Nighttime urban intersection with wet roads, multiple vehicles, traffic lights, and street signs. The white SUV in front brakes suddenly, causing the ego-vehicle to brake. The ego-vehicle avoids collision but experiences hard braking due to the SUV's sudden stop. || The ego vehicle drives straight ahead in rainy weather and at an intersection, while the front vehicle slows down or brakes, leading to rear-end collision risk. || The video car was going straight at an intersection on a rainy day when the vehicle ahead decelerated slower than the video car, leading to an accident. || At an intersection, the dashcam vehicle brakes or slows late while a vehicle ahead brakes or stops suddenly.",normalized
00605.avi,C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00605\pre_event\00605_pre_01.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00605\pre_event\00605_pre_02.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00605\pre_event\00605_pre_03.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00605\pre_event\00605_pre_04.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00605\pre_event\00605_pre_05.jpg,76|87|98|109|120,"Pay attention to the left side because a vehicle may enter the path and cause a collision It is daytime. At the intersection, the dashcam vehicle travels straight. A vehicle from the left road turns left and moves directly into the dashcam vehicle's path, leaving very little clearance between them. Residential street with parked cars, stop sign, and clear weather. A black sedan turns right at the intersection without signaling. The ego-vehicle slows down to avoid a potential collision. The camera car drives straight ahead; at an intersection, a vehicle on the left gets too close; a crossing vehicle enters the driving path, raising intersection collision risk. The dashcam vehicle was going straight through the intersection when it collided with an oncoming vehicle from the left. At an intersection, the dashcam vehicle is moving forward while a vehicle from the left brakes or stops suddenly.",opposite-direction left-side collision conflict,Normal,Clear,Sub-urban,2,6,"Pay attention to the left side because a vehicle may enter the path and cause a collision || It is daytime. At the intersection, the dashcam vehicle travels straight. A vehicle from the left road turns left and moves directly into the dashcam vehicle's path, leaving very little clearance between them. || Residential street with parked cars, stop sign, and clear weather. A black sedan turns right at the intersection without signaling. The ego-vehicle slows down to avoid a potential collision. || The camera car drives straight ahead; at an intersection, a vehicle on the left gets too close; a crossing vehicle enters the driving path, raising intersection collision risk. || The dashcam vehicle was going straight through the intersection when it collided with an oncoming vehicle from the left. || At an intersection, the dashcam vehicle is moving forward while a vehicle from the left brakes or stops suddenly.",normalized
00719.avi,C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00719\pre_event\00719_pre_01.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00719\pre_event\00719_pre_02.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00719\pre_event\00719_pre_03.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00719\pre_event\00719_pre_04.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00719\pre_event\00719_pre_05.jpg,26|50|73|96|120,"Pay attention to the vehicle turning right because it may lead to a collision It is daytime. The dashcam vehicle travels straight. The vehicle ahead brakes. The dashcam vehicle brakes in time and comes to a stop, leaving a very small gap between them. Urban street with parked cars, pedestrians, and construction barriers. The white sedan ahead slows down and merges slightly into the ego-vehicle's lane. The ego-vehicle brakes gently to maintain a safe distance. The camera car turns right when another road user enters a conflicting path, raising turning conflict risk. The dashcam vehicle collided with a stopped vehicle ahead while turning right. On an urban road, the dashcam vehicle brakes or slows late while a vehicle ahead brakes or stops suddenly.",same-direction center rear-end or forward collision conflict,Normal,Clear,Urban,8,6,"Pay attention to the vehicle turning right because it may lead to a collision || It is daytime. The dashcam vehicle travels straight. The vehicle ahead brakes. The dashcam vehicle brakes in time and comes to a stop, leaving a very small gap between them. || Urban street with parked cars, pedestrians, and construction barriers. The white sedan ahead slows down and merges slightly into the ego-vehicle's lane. The ego-vehicle brakes gently to maintain a safe distance. || The camera car turns right when another road user enters a conflicting path, raising turning conflict risk. || The dashcam vehicle collided with a stopped vehicle ahead while turning right. || On an urban road, the dashcam vehicle brakes or slows late while a vehicle ahead brakes or stops suddenly.",normalized
00813.avi,C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00813\pre_event\00813_pre_01.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00813\pre_event\00813_pre_02.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00813\pre_event\00813_pre_03.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00813\pre_event\00813_pre_04.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00813\pre_event\00813_pre_05.jpg,51|68|86|103|120,"Pay attention to the vehicle changing lanes to the left because it may lead to a collision It is night. The dashcam vehicle travels straight. A vehicle from the right lane merges into its lane. The dashcam vehicle steers to the left in time and passes with a safe gap between them. Urban street at night with multiple vehicles, including a blue car and a yellow taxi. The blue car in front brakes suddenly, causing a chain reaction of braking. The ego-vehicle brakes hard to avoid a collision with the blue car. The ego vehicle changes into the left lane when a right-lane vehicle changes left into its path, raising lane-change collision risk. The vehicle with video was traveling straight when the vehicle on its right side changed lanes to the left, colliding with the vehicle with video. At night, the dashcam vehicle brakes or slows late while a cutting-in or merging vehicle cuts in or changes lanes.",same-direction right-front collision conflict,Normal,Clear,Urban,5,6,"Pay attention to the vehicle changing lanes to the left because it may lead to a collision || It is night. The dashcam vehicle travels straight. A vehicle from the right lane merges into its lane. The dashcam vehicle steers to the left in time and passes with a safe gap between them. || Urban street at night with multiple vehicles, including a blue car and a yellow taxi. The blue car in front brakes suddenly, causing a chain reaction of braking. The ego-vehicle brakes hard to avoid a collision with the blue car. || The ego vehicle changes into the left lane when a right-lane vehicle changes left into its path, raising lane-change collision risk. || The vehicle with video was traveling straight when the vehicle on its right side changed lanes to the left, colliding with the vehicle with video. || At night, the dashcam vehicle brakes or slows late while a cutting-in or merging vehicle cuts in or changes lanes.",normalized
00295.avi,C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00295\pre_event\00295_pre_01.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00295\pre_event\00295_pre_02.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00295\pre_event\00295_pre_03.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00295\pre_event\00295_pre_04.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00295\pre_event\00295_pre_05.jpg,92|99|106|113|120,"Pay attention to the vehicle changing lanes to the right because it may lead to a collision The dashcam vehicle travels straight. A vehicle ahead first turns left, then turns right, and is now moving unpredictably in the dashcam vehicle's path. Urban intersection with multiple vehicles, pedestrians, and NYPD presence. Pedestrian crosses against the light, causing vehicles to stop abruptly. Near-miss collision as vehicles brake to avoid hitting the pedestrian. The ego vehicle changes into the right lane while a left-lane vehicle changes right into its path, producing lane-change collision risk. The dashcam vehicle was driving straight when the vehicle on its left suddenly changed lanes to the right and collided with it. At an intersection, the dashcam vehicle changes lanes while a vehicle ahead cuts in or changes lanes.",same-direction left-front collision conflict,Normal,Cloudy,Urban,7,6,"Pay attention to the vehicle changing lanes to the right because it may lead to a collision || The dashcam vehicle travels straight. A vehicle ahead first turns left, then turns right, and is now moving unpredictably in the dashcam vehicle's path. || Urban intersection with multiple vehicles, pedestrians, and NYPD presence. Pedestrian crosses against the light, causing vehicles to stop abruptly. Near-miss collision as vehicles brake to avoid hitting the pedestrian. || The ego vehicle changes into the right lane while a left-lane vehicle changes right into its path, producing lane-change collision risk. || The dashcam vehicle was driving straight when the vehicle on its left suddenly changed lanes to the right and collided with it. || At an intersection, the dashcam vehicle changes lanes while a vehicle ahead cuts in or changes lanes.",normalized
00773.avi,C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00773\pre_event\00773_pre_01.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00773\pre_event\00773_pre_02.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00773\pre_event\00773_pre_03.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00773\pre_event\00773_pre_04.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00773\pre_event\00773_pre_05.jpg,86|94|103|112|120,"Pay attention to the vehicle changing lanes to the left because it may lead to a collision It is night. The dashcam vehicle travels straight at a high speed. A vehicle from the right lane merges into its lane. The dashcam vehicle brakes in time and comes to a stop, leaving a very small gap between them. Multiple vehicles on a multi-lane highway at dusk with streetlights on. The ego-vehicle maintains speed while other vehicles ahead slow down. The ego-vehicle approaches a traffic light intersection with vehicles slowing down. The camera car changes into the left lane while a right-lane vehicle changes left into its path, raising lane-change collision risk. The vehicle with video was traveling straight when the vehicle on its right side changed lanes to the left, colliding with the vehicle with video. At night, the dashcam vehicle brakes or slows late while a cutting-in or merging vehicle cuts in or changes lanes.",same-direction right-front collision conflict,Twilight,Clear,Highway,5,6,"Pay attention to the vehicle changing lanes to the left because it may lead to a collision || It is night. The dashcam vehicle travels straight at a high speed. A vehicle from the right lane merges into its lane. The dashcam vehicle brakes in time and comes to a stop, leaving a very small gap between them. || Multiple vehicles on a multi-lane highway at dusk with streetlights on. The ego-vehicle maintains speed while other vehicles ahead slow down. The ego-vehicle approaches a traffic light intersection with vehicles slowing down. || The camera car changes into the left lane while a right-lane vehicle changes left into its path, raising lane-change collision risk. || The vehicle with video was traveling straight when the vehicle on its right side changed lanes to the left, colliding with the vehicle with video. || At night, the dashcam vehicle brakes or slows late while a cutting-in or merging vehicle cuts in or changes lanes.",normalized
00656.avi,C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00656\pre_event\00656_pre_01.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00656\pre_event\00656_pre_02.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00656\pre_event\00656_pre_03.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00656\pre_event\00656_pre_04.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00656\pre_event\00656_pre_05.jpg,78|88|99|110|120,"Pay attention to the vehicle turning right because it may lead to a collision It is night. The dashcam vehicle travels straight. A vehicle in the left lane intrudes into its lane with its front end, moving into close proximity. Urban intersection at night with multiple vehicles and pedestrians. Vehicles are moving through the intersection, and pedestrians are crossing. No collision or near-miss observed, traffic flows smoothly. The dashcam vehicle turns right as a vehicle from the left moves right across its path, producing turning conflict risk. As the dashcam car was driving straight, the vehicle on the left suddenly turned right, colliding with it. At night, the dashcam vehicle is going straight while a vehicle from the left cuts in or changes lanes.",same-direction left-front collision conflict,Twilight,Clear,Urban,7,6,"Pay attention to the vehicle turning right because it may lead to a collision || It is night. The dashcam vehicle travels straight. A vehicle in the left lane intrudes into its lane with its front end, moving into close proximity. || Urban intersection at night with multiple vehicles and pedestrians. Vehicles are moving through the intersection, and pedestrians are crossing. No collision or near-miss observed, traffic flows smoothly. || The dashcam vehicle turns right as a vehicle from the left moves right across its path, producing turning conflict risk. || As the dashcam car was driving straight, the vehicle on the left suddenly turned right, colliding with it. || At night, the dashcam vehicle is going straight while a vehicle from the left cuts in or changes lanes.",normalized
00588.avi,C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00588\pre_event\00588_pre_01.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00588\pre_event\00588_pre_02.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00588\pre_event\00588_pre_03.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00588\pre_event\00588_pre_04.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00588\pre_event\00588_pre_05.jpg,66|80|93|106|120,"Pay attention to the vehicle changing lanes to the left because it may lead to a collision It is night. The dashcam vehicle travels straight. A vehicle on the right cuts across two lanes and merges into the dashcam vehicle's lane, leaving very little clearance between them. Nighttime highway with multiple vehicles, including a sedan and an SUV. The sedan abruptly changes lanes in front of the ego-vehicle. The ego-vehicle brakes hard to avoid a collision. The dashcam vehicle changes into the left lane; meanwhile, a front-right vehicle cuts into its path, raising lane-change collision risk. The video car was driving straight when the vehicle on the front right suddenly changed lanes to the left, causing a collision. At night, the dashcam vehicle brakes or slows late while a cutting-in or merging vehicle cuts in or changes lanes.",same-direction right-front collision conflict,Dark,Clear,Highway,5,6,"Pay attention to the vehicle changing lanes to the left because it may lead to a collision || It is night. The dashcam vehicle travels straight. A vehicle on the right cuts across two lanes and merges into the dashcam vehicle's lane, leaving very little clearance between them. || Nighttime highway with multiple vehicles, including a sedan and an SUV. The sedan abruptly changes lanes in front of the ego-vehicle. The ego-vehicle brakes hard to avoid a collision. || The dashcam vehicle changes into the left lane; meanwhile, a front-right vehicle cuts into its path, raising lane-change collision risk. || The video car was driving straight when the vehicle on the front right suddenly changed lanes to the left, causing a collision. || At night, the dashcam vehicle brakes or slows late while a cutting-in or merging vehicle cuts in or changes lanes.",normalized
00540.avi,C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00540\pre_event\00540_pre_01.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00540\pre_event\00540_pre_02.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00540\pre_event\00540_pre_03.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00540\pre_event\00540_pre_04.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00540\pre_event\00540_pre_05.jpg,102|106|111|116|120,"Pay attention to the vehicle turning left because it may lead to a collision It is night. At the intersection, the dashcam vehicle starts moving straight. A vehicle from the right road turns left and is entering the dashcam vehicle's path. Nighttime urban intersection with multiple vehicles and traffic lights. A black car turns left in front of the ego-vehicle without signaling. The ego-vehicle brakes hard to avoid a collision. The dashcam vehicle turns left; at an intersection, a vehicle from the right moves left across its path, raising intersection collision risk. The preceding vehicle comes to a sudden stop while the dashcam vehicle fails to maintain a safe following distance, significantly increasing the risk of a rear-end collision. At an intersection, the dashcam vehicle brakes or slows late while a vehicle from the right enters or crosses the dashcam path.",opposite-direction right-side collision conflict,Normal,Clear,Urban,1,6,"Pay attention to the vehicle turning left because it may lead to a collision || It is night. At the intersection, the dashcam vehicle starts moving straight. A vehicle from the right road turns left and is entering the dashcam vehicle's path. || Nighttime urban intersection with multiple vehicles and traffic lights. A black car turns left in front of the ego-vehicle without signaling. The ego-vehicle brakes hard to avoid a collision. || The dashcam vehicle turns left; at an intersection, a vehicle from the right moves left across its path, raising intersection collision risk. || The preceding vehicle comes to a sudden stop while the dashcam vehicle fails to maintain a safe following distance, significantly increasing the risk of a rear-end collision. || At an intersection, the dashcam vehicle brakes or slows late while a vehicle from the right enters or crosses the dashcam path.",normalized
00557.avi,C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00557\pre_event\00557_pre_01.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00557\pre_event\00557_pre_02.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00557\pre_event\00557_pre_03.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00557\pre_event\00557_pre_04.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00557\pre_event\00557_pre_05.jpg,78|88|99|110|120,"The dashcam vehicle travels straight. Traffic is flowing normally. No immediate risk is observed. Multiple vehicles on a two-lane road at dusk with streetlights and buildings. Vehicles are moving forward in traffic, with one car changing lanes. No collision occurs, but the ego-vehicle maintains a safe distance. Traffic is flowing normally with no immediate risk observed. On an urban road, the dashcam vehicle is moving forward while another road user creates a dangerous conflict.",same-direction left-front collision conflict,Twilight,Clear,Urban,7,4,"The dashcam vehicle travels straight. Traffic is flowing normally. No immediate risk is observed. || Multiple vehicles on a two-lane road at dusk with streetlights and buildings. Vehicles are moving forward in traffic, with one car changing lanes. No collision occurs, but the ego-vehicle maintains a safe distance. || Traffic is flowing normally with no immediate risk observed. || On an urban road, the dashcam vehicle is moving forward while another road user creates a dangerous conflict.",normalized
00563.avi,C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00563\pre_event\00563_pre_01.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00563\pre_event\00563_pre_02.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00563\pre_event\00563_pre_03.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00563\pre_event\00563_pre_04.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\00563\pre_event\00563_pre_05.jpg,58|74|89|104|120,"Pay attention to the vehicle ahead because a sudden stop may lead to a collision It is night. The dashcam vehicle travels straight. A black car parked on the right side of the road suddenly opens its door. The dashcam vehicle narrowly avoids contact with the open door. Urban street at night with multiple vehicles, pedestrians, and traffic lights. Vehicles are stopped at a red light, a pedestrian is crossing the street. No collision occurs, vehicles remain stationary, pedestrian crosses safely. The dashcam vehicle drives straight ahead when a front-right vehicle cuts into its path, leading to vehicle collision risk. While the video car was driving straight, the car stopped at the front right suddenly opened its left door, resulting in a collision. At night, the dashcam vehicle is following too closely while a vehicle ahead brakes or stops suddenly.",same-direction right-front collision conflict,Normal,Clear,Urban,5,6,"Pay attention to the vehicle ahead because a sudden stop may lead to a collision || It is night. The dashcam vehicle travels straight. A black car parked on the right side of the road suddenly opens its door. The dashcam vehicle narrowly avoids contact with the open door. || Urban street at night with multiple vehicles, pedestrians, and traffic lights. Vehicles are stopped at a red light, a pedestrian is crossing the street. No collision occurs, vehicles remain stationary, pedestrian crosses safely. || The dashcam vehicle drives straight ahead when a front-right vehicle cuts into its path, leading to vehicle collision risk. || While the video car was driving straight, the car stopped at the front right suddenly opened its left door, resulting in a collision. || At night, the dashcam vehicle is following too closely while a vehicle ahead brakes or stops suddenly.",normalized
01000.avi,C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\01000\pre_event\01000_pre_01.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\01000\pre_event\01000_pre_02.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\01000\pre_event\01000_pre_03.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\01000\pre_event\01000_pre_04.jpg|C:\Users\Administrator\Desktop\traffic_accident_project\frames\meta0713\01000\pre_event\01000_pre_05.jpg,96|102|108|114|120,"Pay attention to the vehicle changing lanes to the right because it may lead to a collision It is daytime. At the intersection, the dashcam vehicle prepares to turn left. A vehicle from the right side of the intersection also prepares to turn left into the same road. The dashcam vehicle brakes in time and comes to a stop, leaving a safe distance between them. No collision occurs. A white SUV and a silver sedan on a two-lane road in daytime with clear weather. The white SUV turns left across the ego-vehicle's path without signaling. The ego-vehicle brakes hard to avoid a collision with the SUV. The camera car drives straight ahead when a left-lane vehicle changes right into its path, raising lane-change collision risk. The car in the video was going straight when a vehicle from the left lane changed to the right, causing a collision. At an intersection, the dashcam vehicle brakes or slows late while a vehicle from the right brakes or stops suddenly.",opposite-direction right-side collision conflict,Normal,Cloudy,Rural,1,6,"Pay attention to the vehicle changing lanes to the right because it may lead to a collision || It is daytime. At the intersection, the dashcam vehicle prepares to turn left. A vehicle from the right side of the intersection also prepares to turn left into the same road. The dashcam vehicle brakes in time and comes to a stop, leaving a safe distance between them. No collision occurs. || A white SUV and a silver sedan on a two-lane road in daytime with clear weather. The white SUV turns left across the ego-vehicle's path without signaling. The ego-vehicle brakes hard to avoid a collision with the SUV. || The camera car drives straight ahead when a left-lane vehicle changes right into its path, raising lane-change collision risk. || The car in the video was going straight when a vehicle from the left lane changed to the right, causing a collision. || At an intersection, the dashcam vehicle brakes or slows late while a vehicle from the right brakes or stops suddenly.",normalized
